gt_index,code,year,semester,category,pdf_page,curriculum_page,source_note
42,xxxxxxxx,4,1,หมวดวิชาเลือกเสรี,36,35,Academic plan Year 4 Semester 1
43,xxxxxxxx,4,1,หมวดวิชาเลือกเสรี,36,35,Academic plan Year 4 Semester 1
44,06026259 หรือ 06026260,4,2,หมวดวิชาเฉพาะ,36,35,Academic plan Year 4 Semester 2
45,06026216,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
46,06026217,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
47,06026218,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
48,06026219,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
49,06026220,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
50,06026221,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
51,06026222,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
52,06026223,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
53,06026224,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
54,06026225,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
55,06026226,0,0,หมวดวิชาเฉพาะ,19,18,Flexible elective catalog
56,06026227,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
57,06026228,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
58,06026229,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
59,06026230,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
60,06026231,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
61,06026232,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
62,06026233,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
63,06026234,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
64,06026235,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
65,06026236,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
66,06026237,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
67,06026238,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
68,06026239,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
69,06026240,0,0,หมวดวิชาเฉพาะ,20,19,Flexible elective catalog
70,06026241,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
71,06026242,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
72,06026243,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
73,06026244,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
74,06026245,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
75,06026246,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
76,06026247,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
77,06026248,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
78,06026249,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
79,06026250,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
80,06026251,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
81,06026252,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
82,06026253,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
83,06026254,0,0,หมวดวิชาเฉพาะ,21,20,Flexible elective catalog
84,06026255,0,0,หมวดวิชาเฉพาะ,22,21,Flexible elective catalog
85,06026256,0,0,หมวดวิชาเฉพาะ,22,21,Flexible elective catalog
86,06026257,0,0,หมวดวิชาเฉพาะ,22,21,Flexible elective catalog
87,06026258,0,0,หมวดวิชาเฉพาะ,22,21,Flexible elective catalog
88,06026259,0,0,หมวดวิชาเฉพาะ,22,21,Flexible elective catalog
89,06026260,0,0,หมวดวิชาเฉพาะ,22,21,Flexible elective catalog
