gt_index,code,year,semester,pdf_page,curriculum_page,source_section,mapping_method,mapping_score,evidence
91,06016466,0,0,28,23,catalog,source_match,180.0,"06016466,name_en:exact"
92,06016467,0,0,28,23,catalog,source_match,180.0,"06016467,name_th:exact"
93,06016468,0,0,28,23,catalog,source_match,180.0,"06016468,name_en:exact"
94,06016469,0,0,28,23,catalog,source_match,180.0,"06016469,name_en:exact"
95,06016470,0,0,28,23,catalog,source_match,180.0,"06016470,name_th:exact"
96,06016471,0,0,28,23,catalog,source_match,180.0,"06016471,name_en:exact"
97,06016472,0,0,28,23,catalog,source_match,180.0,"06016472,name_en:exact"
98,06016473,0,0,28,23,catalog,source_match,180.0,"06016473,name_en:exact"
99,06016474,0,0,28,23,catalog,source_match,180.0,"06016474,name_en:exact"
100,06016475,0,0,28,23,catalog,source_match,180.0,"06016475,name_en:exact"
101,06016476,0,0,28,23,catalog,source_match,180.0,"06016476,name_en:exact"
102,06016477,0,0,28,23,catalog,source_match,180.0,"06016477,name_en:exact"
103,06016478,0,0,29,24,catalog,source_match,180.0,"06016478,name_en:exact"
104,06016479,0,0,29,24,catalog,source_match,180.0,"06016479,name_en:exact"
105,06016480,0,0,29,24,catalog,source_match,180.0,"06016480,name_en:exact"
